X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,22,0,0
Iris-virginica,0,27,4
Iris-versicolor,0,0,22
X,Iris-virginica,Iris-versicolor,Iris-setosa
Iris-virginica,23,2,3
Iris-versicolor,0,23,0
Iris-setosa,0,0,24
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,17,0,0
Iris-virginica,3,23,11
Iris-versicolor,0,0,21
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,17,0,0
Iris-virginica,3,23,11
Iris-versicolor,0,0,21
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,17,0,0
Iris-virginica,3,23,11
Iris-versicolor,0,0,21
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,17,0,0
Iris-virginica,3,23,11
Iris-versicolor,0,0,21
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,17,0,0
Iris-virginica,3,23,11
Iris-versicolor,0,0,21
X,Iris-versicolor,Iris-setosa,Iris-virginica
Iris-versicolor,24,0,1
Iris-setosa,0,27,0
Iris-virginica,2,0,21
X,Iris-versicolor,Iris-setosa,Iris-virginica
Iris-versicolor,24,0,1
Iris-setosa,0,27,0
Iris-virginica,2,0,21
X,Iris-versicolor,Iris-setosa,Iris-virginica
Iris-versicolor,24,0,1
Iris-setosa,0,27,0
Iris-virginica,2,0,21
X,Iris-virginica,Iris-setosa,Iris-versicolor
Iris-virginica,24,0,1
Iris-setosa,0,24,0
Iris-versicolor,1,0,25
X,Iris-virginica,Iris-setosa,Iris-versicolor
Iris-virginica,24,0,1
Iris-setosa,0,24,0
Iris-versicolor,1,0,25
X,Iris-virginica,Iris-setosa,Iris-versicolor
Iris-virginica,24,0,1
Iris-setosa,0,24,0
Iris-versicolor,1,0,25
